country,region,total_articles,high_quality_articles,Population,is_region,Region,articles_per_capita,high_quality_articles_per_capita
Antigua and Barbuda,CARIBBEAN,33,0.0,100000.0,False,CARIBBEAN,0.00033,0.0
Bahamas,CARIBBEAN,9,0.0,400000.0,False,CARIBBEAN,2.25e-05,0.0
Barbados,CARIBBEAN,25,0.0,300000.0,False,CARIBBEAN,8.333333333333333e-05,0.0
Cuba,CARIBBEAN,50,6.0,11000000.0,False,CARIBBEAN,4.5454545454545455e-06,5.454545454545455e-07
Dominican Republic,CARIBBEAN,38,2.0,11300000.0,False,CARIBBEAN,3.3628318584070798e-06,1.7699115044247788e-07
Grenada,CARIBBEAN,2,0.0,100000.0,False,CARIBBEAN,2e-05,0.0
Haiti,CARIBBEAN,34,0.0,11600000.0,False,CARIBBEAN,2.931034482758621e-06,0.0
St. Kitts and Nevis,CARIBBEAN,3,0.0,100000.0,False,CARIBBEAN,3e-05,0.0
St. Lucia,CARIBBEAN,3,0.0,200000.0,False,CARIBBEAN,1.5e-05,0.0
St. Vincent and the Grenadines,CARIBBEAN,4,0.0,100000.0,False,CARIBBEAN,4e-05,0.0
Trinidad and Tobago,CARIBBEAN,18,1.0,1400000.0,False,CARIBBEAN,1.2857142857142857e-05,7.142857142857143e-07
Belize,CENTRAL AMERICA,9,0.0,500000.0,False,CENTRAL AMERICA,1.8e-05,0.0
Costa Rica,CENTRAL AMERICA,62,1.0,5300000.0,False,CENTRAL AMERICA,1.169811320754717e-05,1.8867924528301886e-07
El Salvador,CENTRAL AMERICA,28,3.0,6400000.0,False,CENTRAL AMERICA,4.375e-06,4.6875e-07
Guatemala,CENTRAL AMERICA,28,3.0,18100000.0,False,CENTRAL AMERICA,1.5469613259668508e-06,1.6574585635359117e-07
Honduras,CENTRAL AMERICA,17,0.0,9700000.0,False,CENTRAL AMERICA,1.7525773195876288e-06,0.0
Nicaragua,CENTRAL AMERICA,16,0.0,6800000.0,False,CENTRAL AMERICA,2.352941176470588e-06,0.0
Panama,CENTRAL AMERICA,28,3.0,4500000.0,False,CENTRAL AMERICA,6.222222222222222e-06,6.666666666666667e-07
Kazakhstan,CENTRAL ASIA,36,3.0,19900000.0,False,CENTRAL ASIA,1.8090452261306533e-06,1.507537688442211e-07
Kyrgyzstan,CENTRAL ASIA,19,1.0,6800000.0,False,CENTRAL ASIA,2.7941176470588237e-06,1.4705882352941175e-07
Tajikistan,CENTRAL ASIA,14,1.0,10200000.0,False,CENTRAL ASIA,1.3725490196078432e-06,9.80392156862745e-08
Turkmenistan,CENTRAL ASIA,12,0.0,7100000.0,False,CENTRAL ASIA,1.6901408450704225e-06,0.0
Uzbekistan,CENTRAL ASIA,25,0.0,36400000.0,False,CENTRAL ASIA,6.868131868131868e-07,0.0
China,EAST ASIA,16,0.0,1411300000.0,False,EAST ASIA,1.1337065117267768e-08,0.0
Japan,EAST ASIA,117,2.0,124500000.0,False,EAST ASIA,9.397590361445783e-07,1.606425702811245e-08
Korea (South),EAST ASIA,78,11.0,51400000.0,False,EAST ASIA,1.5175097276264591e-06,2.140077821011673e-07
Mongolia,EAST ASIA,9,1.0,3500000.0,False,EAST ASIA,2.5714285714285716e-06,2.857142857142857e-07
Taiwan,EAST ASIA,10,0.0,23400000.0,False,EAST ASIA,4.2735042735042736e-07,0.0
Burundi,EASTERN AFRICA,16,3.0,13200000.0,False,EASTERN AFRICA,1.2121212121212122e-06,2.2727272727272726e-07
Comoros,EASTERN AFRICA,23,0.0,900000.0,False,EASTERN AFRICA,2.5555555555555554e-05,0.0
Djibouti,EASTERN AFRICA,15,0.0,1100000.0,False,EASTERN AFRICA,1.3636363636363637e-05,0.0
Eritrea,EASTERN AFRICA,15,0.0,3700000.0,False,EASTERN AFRICA,4.054054054054054e-06,0.0
Ethiopia,EASTERN AFRICA,44,2.0,126500000.0,False,EASTERN AFRICA,3.4782608695652175e-07,1.5810276679841897e-08
Kenya,EASTERN AFRICA,125,3.0,55100000.0,False,EASTERN AFRICA,2.268602540834846e-06,5.4446460980036295e-08
Madagascar,EASTERN AFRICA,35,1.0,30400000.0,False,EASTERN AFRICA,1.1513157894736842e-06,3.289473684210526e-08
Malawi,EASTERN AFRICA,16,0.0,19800000.0,False,EASTERN AFRICA,8.080808080808081e-07,0.0
Mozambique,EASTERN AFRICA,12,0.0,33900000.0,False,EASTERN AFRICA,3.5398230088495575e-07,0.0
Rwanda,EASTERN AFRICA,16,2.0,14100000.0,False,EASTERN AFRICA,1.1347517730496454e-06,1.4184397163120568e-07
Seychelles,EASTERN AFRICA,6,0.0,100000.0,False,EASTERN AFRICA,6e-05,0.0
Somalia,EASTERN AFRICA,103,2.0,18100000.0,False,EASTERN AFRICA,5.69060773480663e-06,1.1049723756906077e-07
South Sudan,EASTERN AFRICA,70,3.0,11100000.0,False,EASTERN AFRICA,6.3063063063063065e-06,2.702702702702703e-07
Tanzania,EASTERN AFRICA,32,0.0,67400000.0,False,EASTERN AFRICA,4.747774480712166e-07,0.0
Uganda,EASTERN AFRICA,65,1.0,48600000.0,False,EASTERN AFRICA,1.3374485596707819e-06,2.05761316872428e-08
Zambia,EASTERN AFRICA,3,0.0,20200000.0,False,EASTERN AFRICA,1.4851485148514852e-07,0.0
Zimbabwe,EASTERN AFRICA,69,0.0,16700000.0,False,EASTERN AFRICA,4.131736526946108e-06,0.0
Belarus,EASTERN EUROPE,39,5.0,9200000.0,False,EASTERN EUROPE,4.239130434782608e-06,5.434782608695652e-07
Bulgaria,EASTERN EUROPE,66,3.0,6400000.0,False,EASTERN EUROPE,1.03125e-05,4.6875e-07
Czechia,EASTERN EUROPE,60,2.0,10900000.0,False,EASTERN EUROPE,5.5045871559633025e-06,1.834862385321101e-07
Hungary,EASTERN EUROPE,86,2.0,9600000.0,False,EASTERN EUROPE,8.958333333333334e-06,2.0833333333333333e-07
Moldova,EASTERN EUROPE,68,1.0,3400000.0,False,EASTERN EUROPE,2e-05,2.941176470588235e-07
Poland,EASTERN EUROPE,159,7.0,37700000.0,False,EASTERN EUROPE,4.217506631299734e-06,1.856763925729443e-07
Russia,EASTERN EUROPE,119,9.0,146900000.0,False,EASTERN EUROPE,8.10074880871341e-07,6.126616746085772e-08
Slovakia,EASTERN EUROPE,33,1.0,5400000.0,False,EASTERN EUROPE,6.111111111111111e-06,1.8518518518518518e-07
